,cid,smiles,NR3C1
153,6714010,CC[C@H](C)[C@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C1CSC(=N1)C(N)C(C)CC)C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC,0
154,5482874,CCC(C)N1CCC2(CC1)NC3=C4NC(=O)C(=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@H](C)[C@@H](OC)C=CO[C@@]5(C)Oc6c(C)c(O)c(C4=O)c(C3=N2)c6C5=O)C,0
155,44142351,CC(=O)NC(c1cccs1)c2cc(F)c3cccnc3c2O,0
156,3516032,CCN1CCN(CC1)C(c2cccnc2)c3cc(Cl)c4cccnc4c3O,0
157,4583,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,0
158,216284,CC1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0
159,4410,CC1CCc2c(N3CCC(O)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,0
160,34772,Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1,0
161,54678486,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,0
162,412,C1CNC(C1)c2cccnc2,0
163,15548,COc1ccc(CC2N(C)CCc3cc(OC)c(OC)cc23)cc1OC,0
164,4497,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC(C)C)C,1
165,11214940,CCOc1ccccc1N2C(=O)c3ccccc3N=C2C(C)N4CCN(CC4)C(=O)COc5ccc(Cl)cc5,0
166,44295709,COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(I)cc3)N2C,0
167,541830,CNCC(O)c1cc(OCc2ccccc2)c(OCc3ccccc3)cc1F,0
168,2145,CCC1(CCC(=O)NC1=O)c2ccc(N)cc2,0
169,10367662,CC(OC(=O)Nc1c(C)noc1c2ccc(CSCCC(=O)O)cc2)c3ccccc3Cl,0
170,59693,N#Cc1ccc(cc1)C2CCCc3cncn23,0
171,6338099,O=C1OC23C[C@@H](C=CC2=C1)N4CCCC[C@H]34,0
172,44537690,OC1N2CCCC2=Nc3c(Cl)cc(Cl)cc13,0
173,65909,CC1(CN2CCC(CC2)N3C(=O)Nc4ccccc34)OCc5ccccc5n6cccc16,0
174,54456,CC1NCCc2cc(O)c(O)cc12,0
175,2531,Clc1ccc(cc1)C(c2ccc(Cl)cc2)n3cc[n+](CC(OCc4ccc(Cl)cc4Cl)c5ccc(Cl)cc5Cl)c3,0
176,4932,CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2,0
177,2732,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,0
178,4484064,Cc1cccc(C)c1NC(=O)C(Cl)C(=O)c2ccccc2,0
179,4474,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,0
180,4296446,O=C(Nc1ccc2ccccc2c1)C3CC4CCC3C4,0
181,102614,Oc1ccc(CC(C#N)c2ccc(O)cc2)cc1,0
182,2872362,COc1ccc(C(NC(=O)c2ccccc2)c3ccc4cccnc4c3O)c(OC)c1,0
183,2143,CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4N,0
184,2950007,COc1ccc(cc1)C2CC(=NN2c3ccc(cc3)S(=O)(=O)N)c4ccccc4,0
185,441276,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)C2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0
186,5419,C1CC(C2=NCCN2)c3ccccc3C1,0
187,5560,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,1
188,5702164,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC([C@@H]2O)n3cnc4c(ncnc34)N(C)C)cc1,0
189,11012,C[C@]12CC[C@H](O)C[C@H]1CCC3C2CC[C@]4(C)[C@H]([C@@H](O)C[C@]34O)C5=CC(=O)OC5,0
190,4698,COC(=O)C1=C(C)NC(=C(C1C)C(=O)OCCSc2ccccc2)C,0
191,3169,OCC(O)CN1CCN(CC1)c2ccccc2,1
192,2375,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,0
193,2852569,CC(C)c1ccc(NC(=O)C2CC3CCC2C3)cc1,0
194,5702072,CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(=O)C,0
195,3114,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,0
196,3292,CCN1C(=O)NC(C1=O)c2ccccc2,0
197,2976290,CCOc1ccc(NC(=O)C(C)Sc2ncnc3sc(cc23)c4ccccc4)cc1,0
198,378811,O=C(NCCCN1CCCCCC1)C(C2CCCCC2)c3ccccc3,0
199,50897809,COc1ccc(cc1COc2c(C)cc(NC(=O)C)cc2C)C3Nc4ccccc4C(=O)N3Cc5occc5,0
200,10831,O=C(Nc1ccccc1)OCC(CN2CCCCC2)OC(=O)Nc3ccccc3,0
201,3333,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,1
202,4485,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,1
203,5353446,CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1,0
204,3386,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,0
205,16046239,COc1cc(Br)c(OC)c2CC(CN)c12,0
206,4211,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,0
207,2998821,CC(OC(=O)c1cccc(NS(=O)(=O)C)c1)C(=O)Nc2ccc(cc2)N3CCOCC3,0
208,4107,COc1ccccc1OCC(O)COC(=O)N,1
209,2685,Cn1cc(nc1c2ccc(OCC(O)CNCCOc3ccc(O)c(c3)C(=O)N)cc2)C(F)(F)F,0
210,4124546,CCN1CCN(CC1)C(c2cccnc2)c3ccc4cccnc4c3O,0
211,17757275,Oc1ccc(Cl)cc1Nc2nc(NCC3CCCO3)c4ccccc4n2,0
212,16746402,COc1cc(O)c(C(CC(=O)N2CCCC(C)C2)c3ccc4OCOc4c3)c(OC)c1,0
213,5482,Clc1ccc(C(Cn2ccnc2)OCc3ccsc3Cl)c(Cl)c1,0
214,5253,CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1,0
215,40854,COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)c3ccccc3,0
216,4167,CN1CCCC(CC2c3ccccc3Sc4ccccc24)C1,0
217,4641,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,0
218,5359,CC(C(=O)O)c1ccc(cc1)C(=O)c2cccs2,0
219,51360697,Cn1ccc2c(cc3C4CCC(O4)c3c12)c5ccc(cc5)C(C)(C)C,0
220,5354,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,0
221,46869952,CC1(CC(=O)N(C1=O)c2ccc(NC(=O)c3ccccn3)cc2Cl)c4ccccc4,0
222,5092,COc1ccc(cc1OC2CCCC2)C3CNC(=O)C3,1
224,5735,CN1CCN(CC1)C(=O)OC2N(C(=O)c3nccnc23)c4ccc(Cl)cn4,1
225,50897785,COc1ccc(cc1COc2c(C)cccc2C)C3Nc4ccccc4C(=O)N3Cc5oc(C)cc5,0
226,8362,CC1CC(CC(C)(C)C1)OC(=O)c2ccccc2O,0
227,9828429,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)C4CCC3=C2)C6=COC(=O)C=C6)[C@H](O)[C@H](O)[C@H]1O,0
228,3793,CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4,1
229,5293655,CC1OC(OCC2OC(OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)c(O)c5)C(O)C(O)C2O)C(O)C(O)C1O,0
230,44473132,CC1CN(CCN1c2cccc(C)c2)C(=O)COc3noc4nc(C)cc(C)c34,0
231,11095,Oc1cc(O)c2C(=O)CC(Oc2c1)c3ccc(O)c(O)c3,0
232,3003,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0
233,44537691,OC1N2CCCCC2=Nc3cccc(F)c13,0
234,16307489,Clc1ccc(cc1)C(=O)NCCC(=O)NC2CCCc3ccccc23,0
235,2868392,CCNC(=O)C1OC(C(O)C1O)n2cnc3c(N)ncnc23,0
236,6708778,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)C(O[C@@H]4O[C@@H]5CO[C@H](OC5[C@H](O)[C@H]4O)c6cccs6)c7cc8OCOc8cc27,0
237,2688,Clc1ccc2NC(=O)CSC(c3ccccc3Cl)c2c1,0
238,5284639,OCC1OC(Oc2cc(O)c3C(=O)C(=COc3c2)c4ccc(O)cc4)C(O)C(O)C1O,0
239,2963476,COC(=O)c1c(C)c(C)sc1NC(=O)CC2Nc3cccc4cccc(NC2=O)c34,0
240,5342,O=C1C(CCS(=O)c2ccccc2)C(=O)N(N1c3ccccc3)c4ccccc4,1
241,3689413,COc1ccc(cc1Cl)N(C(C(=O)NCCc2ccccc2)c3cccs3)C(=O)CCl,0
242,2828334,CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O,0
243,3150672,O=S(=O)(CC(CN1CCCCC1)N2CCCCC2)c3ccccc3,0
244,2868336,COc1ccc(cc1)C(=O)Nc2ccccc2C(=O)NC(C(C)C)C(=O)O,0
245,5244802,Clc1ccc(CC(=O)N2CCCCC2CN3CCCC3)cc1Cl,0
246,27648,CC(CN(C(=O)C)c1c(I)cc(I)c(N)c1I)C(=O)O,0
247,44629413,COc1ccc(cc1OC)C(=O)C2CCCN(CC3CCCCC3)C2,0
248,176155,CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,1
249,4380267,Fc1ccc(cc1)N(C(C(=O)NC2CCCCC2)c3cccnc3)C(=O)CCl,0
